x ,	 y, 	 r 
311 , 138 , 1099345162.5
62 , 174 , 1099345162.5
63 , 174 , 3498877392.1875
64 , 174 , 5877268368.75
65 , 174 , 4164826865.625
66 , 174 , 5285313281.25
137 , 174 , 5285313281.25
138 , 174 , 4164826865.625
139 , 174 , 8498783756.25
140 , 174 , 8498783756.25
141 , 174 , 8498783756.25
142 , 174 , 4164826865.625
143 , 174 , 5285313281.25
199 , 174 , 5285313281.25
200 , 174 , 4164826865.625
201 , 174 , 5877268368.75
202 , 174 , 3498877392.1875
203 , 174 , 1099345162.5
61 , 175 , 803367618.75
62 , 175 , 2706080400.0
63 , 175 , 5084471376.5625
64 , 175 , 7441721100.0
65 , 175 , 4492516289.0625
66 , 175 , 4164826865.625
137 , 175 , 4164826865.625
138 , 175 , 3287464860.9375
139 , 175 , 6934331025.0
140 , 175 , 6934331025.0
141 , 175 , 6934331025.0
142 , 175 , 3287464860.9375
143 , 175 , 4164826865.625
199 , 175 , 4164826865.625
200 , 175 , 4492516289.0625
201 , 175 , 7441721100.0
202 , 175 , 5084471376.5625
203 , 175 , 2706080400.0
204 , 175 , 803367618.75
61 , 176 , 1860430275.0
62 , 176 , 5877268368.75
63 , 176 , 9555846412.5
64 , 176 , 13149859443.75
65 , 176 , 7441721100.0
66 , 176 , 5877268368.75
137 , 176 , 8498783756.25
138 , 176 , 6934331025.0
139 , 176 , 14206922100.0
140 , 176 , 14206922100.0
141 , 176 , 14206922100.0
142 , 176 , 6934331025.0
143 , 176 , 8498783756.25
199 , 176 , 5877268368.75
200 , 176 , 7441721100.0
201 , 176 , 13149859443.75
202 , 176 , 9555846412.5
203 , 176 , 5877268368.75
204 , 176 , 1860430275.0
61 , 177 , 1469317092.1875
62 , 177 , 4228250625.0
63 , 177 , 6934331025.0
64 , 177 , 9555846412.5
65 , 177 , 5084471376.5625
66 , 177 , 3498877392.1875
137 , 177 , 8498783756.25
138 , 177 , 6934331025.0
139 , 177 , 14206922100.0
140 , 177 , 14206922100.0
141 , 177 , 14206922100.0
142 , 177 , 6934331025.0
143 , 177 , 8498783756.25
199 , 177 , 3498877392.1875
200 , 177 , 5084471376.5625
201 , 177 , 9555846412.5
202 , 177 , 6934331025.0
203 , 177 , 4228250625.0
204 , 177 , 1469317092.1875
61 , 178 , 1057062656.25
62 , 178 , 2494667868.75
63 , 178 , 4228250625.0
64 , 178 , 5877268368.75
65 , 178 , 2706080400.0
66 , 178 , 1099345162.5
